iter	Passed	Remaining
0	1	135
1	2	124
2	3	118
3	4	109
4	5	109
5	7	110
6	8	109
7	9	107
8	10	105
9	11	104
10	12	102
11	13	101
12	14	100
13	16	98
14	17	97
15	18	95
16	19	94
17	20	94
18	21	93
19	22	91
20	24	90
21	25	89
22	26	87
23	27	86
24	28	85
25	29	84
26	30	83
27	31	82
28	33	80
29	34	79
30	35	78
31	36	77
32	37	76
33	38	75
34	39	73
35	40	72
36	42	71
37	43	70
38	44	69
39	45	68
40	46	66
41	46	64
42	48	63
43	49	62
44	50	61
45	51	60
46	52	59
47	53	58
48	55	57
49	56	56
50	57	55
51	58	53
52	59	52
53	60	51
54	61	50
55	62	49
56	63	47
57	64	46
58	66	45
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	73	38
66	74	36
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	83	29
74	84	28
75	85	26
76	86	25
77	87	24
78	88	23
79	89	22
80	91	21
81	92	20
82	93	19
83	94	18
84	96	16
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	111	2
98	112	1
99	113	0
