iter	Passed	Remaining
0	154	154770
1	156	78018
2	157	52390
3	159	39599
4	160	31924
5	161	26788
6	163	23137
7	164	20383
8	166	18292
9	167	16573
10	168	15160
11	169	13979
12	170	12980
13	174	12268
14	175	11539
15	176	10883
16	178	10321
17	179	9805
18	180	9339
19	182	8921
20	183	8542
21	184	8200
22	185	7886
23	189	7702
24	190	7434
25	191	7185
26	193	6963
27	194	6750
28	195	6549
29	196	6363
30	198	6190
31	199	6025
32	200	5870
33	202	5760
34	203	5624
35	205	5495
36	206	5377
37	207	5261
38	209	5151
39	210	5045
40	211	4945
41	212	4849
42	213	4758
43	214	4670
44	216	4588
45	218	4535
46	220	4463
47	221	4390
48	222	4321
49	223	4254
50	225	4189
51	226	4127
52	227	4066
53	228	4007
54	233	4018
55	235	3966
56	236	3916
57	238	3866
58	239	3816
59	240	3769
60	241	3723
61	243	3677
62	244	3633
63	246	3603
64	249	3581
65	250	3543
66	252	3518
67	253	3478
68	254	3439
69	256	3403
70	257	3368
71	258	3335
72	260	3302
73	262	3287
74	263	3254
75	265	3222
76	266	3191
77	267	3161
78	268	3130
79	269	3101
80	270	3072
81	272	3045
82	272	3013
83	273	2986
84	275	2962
85	276	2943
86	278	2918
87	279	2894
88	280	2871
89	281	2848
90	282	2826
91	284	2803
92	285	2782
93	286	2761
94	287	2741
95	288	2720
96	290	2701
97	292	2692
98	293	2674
99	295	2655
100	296	2636
101	297	2617
102	298	2600
103	299	2582
104	301	2566
105	302	2549
106	303	2532
107	306	2528
108	307	2512
109	308	2497
110	309	2481
111	311	2465
112	312	2450
113	313	2434
114	314	2419
115	315	2404
116	316	2388
117	317	2374
118	319	2362
119	321	2355
120	322	2343
121	323	2328
122	324	2315
123	325	2302
124	327	2289
125	328	2276
126	329	2262
127	330	2249
128	331	2237
129	332	2226
130	333	2214
131	335	2204
132	338	2204
133	339	2194
134	340	2182
135	341	2171
136	342	2160
137	344	2149
138	345	2138
139	346	2127
140	347	2118
141	348	2106
142	349	2097
143	354	2105
144	355	2096
145	356	2086
146	357	2076
147	358	2066
148	360	2056
149	361	2046
150	362	2037
151	363	2029
152	364	2019
153	366	2011
154	367	2003
155	368	1995
156	369	1986
157	371	1977
158	372	1970
159	373	1961
160	374	1951
161	375	1942
162	377	1937
163	378	1931
164	380	1924
165	382	1922
166	383	1915
167	385	1908
168	386	1900
169	387	1893
170	388	1885
171	390	1879
172	391	1872
173	392	1864
174	394	1857
175	396	1856
176	397	1849
177	398	1842
178	400	1835
179	401	1828
180	402	1820
181	403	1813
182	404	1807
183	405	1800
184	407	1793
185	408	1786
186	409	1779
187	414	1788
188	415	1783
189	416	1777
190	418	1771
191	419	1765
192	420	1758
193	421	1752
194	423	1746
195	424	1740
196	427	1744
197	429	1738
198	430	1732
199	431	1727
200	433	1721
201	434	1715
202	435	1709
203	436	1703
204	437	1697
205	438	1691
206	440	1686
207	441	1681
208	442	1675
209	444	1671
210	445	1666
211	446	1660
212	448	1655
213	449	1649
214	450	1644
215	451	1638
216	452	1633
217	453	1627
218	454	1622
219	457	1622
220	458	1617
221	460	1612
222	461	1608
223	462	1603
224	464	1598
225	465	1593
226	466	1587
